0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142
-45.739723,-45.66053,-45.088543,-43.926414,-43.835392,-43.18622,-42.805996,-44.095085,-45.95111,-47.154232,-48.73257,-50.368195,-51.214733,-51.330734,-50.585854,-49.27497,-47.74538,-47.448215,-48.221397,-48.51688,-50.824,-51.982117,-52.264492,-52.404243,-52.380955,-49.057266,-46.914474,-48.55562,-47.405514,-46.76341,-48.297768,-49.897808,-51.38113,-52.289352,-51.627457,-49.516006,-46.801838,-45.530888,-45.09208,-45.885105,-48.244972,-50.36731,-50.157764,-55.427876,-55.633926,-54.994656,-55.71399,-54.929115,-53.95072,-52.99471,-52.58831,-55.285606,-57.622086,-60.956554,-61.838825,-60.52864,-60.621677,-61.475628,-61.444733,-62.035076,-61.57611,-60.147392,-58.404133,-57.76706,-56.887486,-55.81485,-54.773766,-54.608585,-53.39572,-52.5588,-52.293003,-52.053677,-53.071915,-53.367756,-52.784367,-50.264526,-46.239334,-41.94137,-38.663532,-37.56114,-37.69565,-42.49361,-43.462826,-44.124847,-44.583805,-45.26706,-46.2949,-47.352367,-44.03134,-39.186783,-37.22314,-37.974194,-37.72579,-40.79778,-42.24697,-47.63287,-53.796917,-54.71588,-56.87237,-57.50704,-56.53558,-55.47019,-54.18195,-53.425625,-51.918873,-51.54498,-51.173107,-52.85526,-52.993404,-51.34782,-50.640026,-51.659466,-53.25042,-53.07329,-53.47452,-54.41215,-55.199146,-56.86933,-57.716015,-60.366146,-64.905594,-69.73742,-65.85273,-61.30563,-59.76025,-57.61837,-58.140617,-58.20259,-60.79352,-65.014015,-66.685455,-67.322235,-69.700645,-71.96462,-73.80104,-73.29144,-72.53613,-71.04989,-69.03741,-66.61889,-65.94169,-66.011314,-67.784996
-60.45746,-60.88023,-57.953262,-53.977127,-54.396076,-53.18276,-51.16007,-55.454395,-60.48691,-60.02939,-58.126022,-56.572437,-57.654472,-60.866104,-59.0961,-53.907955,-51.52229,-50.65932,-52.58838,-55.409588,-59.071384,-61.08578,-61.889538,-61.376865,-60.29817,-59.211323,-57.10213,-55.374317,-54.70912,-54.04043,-56.245045,-59.129692,-62.52289,-67.04009,-73.81776,-62.20176,-55.660316,-51.76246,-50.997543,-51.952583,-54.69352,-58.538326,-58.737164,-63.128574,-67.050415,-67.36082,-66.55939,-64.89722,-62.76744,-60.42667,-59.791756,-58.617622,-61.58993,-63.79585,-63.593334,-63.03767,-62.514324,-62.941387,-61.94943,-63.32194,-64.69067,-65.72468,-67.83911,-74.22225,-79.01932,-71.3672,-66.3812,-64.47044,-61.63753,-60.084015,-60.39405,-60.03641,-61.080097,-60.90532,-61.13739,-61.54844,-55.48107,-46.633087,-41.863163,-43.083363,-45.354618,-53.077366,-54.54838,-55.57694,-56.37364,-57.459717,-58.97756,-60.589745,-58.504536,-56.122883,-54.489418,-51.25462,-50.91453,-55.984623,-60.78793,-62.155582,-62.43803,-63.49201,-60.623714,-59.060513,-57.916615,-55.85364,-56.080257,-57.243626,-57.496696,-58.76038,-59.502644,-61.078724,-61.70714,-58.753845,-58.034267,-56.426594,-58.535492,-58.169518,-58.324505,-58.312943,-58.90735,-60.967503,-64.1618,-60.112125,-60.99679,-63.26386,-63.219944,-61.024857,-61.21807,-58.912807,-59.182705,-58.31335,-60.232727,-61.18427,-61.4148,-61.727505,-64.26679,-68.05613,-71.910774,-73.67047,-73.89429,-73.580055,-72.62947,-71.33093,-72.273834,-75.14551,-80.0
-57.3466,-57.660408,-57.24079,-54.14629,-52.58382,-51.94704,-51.521038,-53.704273,-57.181767,-59.141308,-61.458683,-62.292133,-61.725426,-59.50992,-56.3204,-54.320774,-53.462196,-53.902607,-59.128826,-61.36724,-64.94059,-69.721794,-71.078674,-72.40178,-73.804565,-71.23319,-71.20605,-71.273766,-72.87346,-65.70941,-61.71091,-59.66812,-59.697147,-61.44599,-65.339195,-66.72216,-62.124172,-56.874046,-58.100082,-63.811825,-67.41303,-71.30154,-71.2549,-74.69899,-74.341064,-74.3638,-74.29287,-74.14063,-73.38211,-72.54763,-73.66766,-71.36042,-68.7336,-70.55116,-70.534225,-67.19264,-64.621216,-64.99335,-66.951805,-67.700516,-66.33026,-65.78722,-63.538757,-64.664055,-65.040245,-64.83564,-64.219925,-65.594025,-64.792725,-65.466576,-67.222595,-69.377335,-70.71244,-69.42534,-69.10725,-78.01971,-61.07886,-52.12475,-52.360954,-57.094727,-59.101856,-68.407646,-70.14929,-71.42069,-71.78879,-70.62604,-71.76027,-73.76587,-72.12502,-70.38495,-69.79296,-69.72357,-73.546974,-80.0,-73.75472,-73.127106,-74.19953,-75.87292,-72.449684,-68.684525,-65.752426,-62.227642,-62.544415,-65.93458,-66.49391,-66.85199,-67.505264,-69.57939,-71.21923,-68.47135,-69.357666,-70.34266,-75.12545,-80.0,-80.0,-77.37728,-73.174934,-70.70863,-71.22663,-65.13044,-66.58769,-70.64161,-70.74345,-67.00784,-66.21389,-64.653885,-63.34426,-63.561268,-63.185528,-63.75391,-62.33794,-61.228405,-60.845234,-62.522163,-63.741722,-64.53134,-64.20409,-64.72427,-64.83536,-64.09716,-65.38783,-67.17992,-69.52797
-56.840836,-56.951424,-56.41801,-52.873966,-51.499516,-50.96658,-50.66392,-53.080322,-56.82018,-58.938175,-60.198704,-60.00509,-58.97305,-58.183823,-56.30054,-53.68182,-52.642963,-52.21721,-55.22047,-58.65666,-63.603394,-64.72446,-65.78966,-66.82746,-65.84498,-65.90717,-64.19759,-63.38462,-62.997875,-60.51701,-61.148045,-61.52918,-62.74663,-64.956665,-64.04072,-58.398247,-53.451496,-51.874264,-52.351574,-58.199615,-61.84148,-65.00837,-67.1372,-71.943726,-72.03234,-71.87865,-71.65438,-70.77118,-69.63689,-67.918175,-67.731705,-64.21497,-62.697056,-60.044777,-59.963192,-60.899483,-65.52501,-74.57321,-80.0,-73.78531,-69.341774,-64.8642,-62.423244,-62.60059,-62.660244,-62.5705,-62.739193,-64.78361,-65.33266,-67.01526,-69.80574,-71.42836,-72.0907,-71.205734,-71.125656,-67.84441,-60.392036,-51.140175,-48.809525,-51.281807,-54.920097,-60.645107,-65.24409,-66.25149,-66.99872,-68.06585,-69.63871,-71.40173,-69.485214,-66.923965,-63.50164,-61.217793,-60.447598,-65.46387,-66.941124,-68.33089,-69.81965,-70.68957,-67.39616,-65.55654,-63.65119,-62.077732,-62.501644,-62.64741,-60.776665,-60.455894,-61.013542,-63.71771,-65.87749,-65.06615,-64.62163,-65.62613,-67.10259,-68.52861,-70.88481,-71.93681,-73.2791,-74.39232,-69.96146,-66.55057,-65.89427,-65.92858,-62.12051,-64.90368,-66.349846,-66.45447,-67.04363,-69.90272,-75.868965,-80.0,-75.15354,-69.207466,-65.75836,-64.63645,-64.56958,-64.36034,-64.35503,-64.460526,-64.326836,-64.25508,-65.859406,-68.24127,-70.12609
-59.564533,-59.467697,-57.216694,-52.183037,-52.020027,-51.658077,-51.252304,-55.43092,-59.99055,-60.07669,-58.08595,-57.040028,-58.085506,-58.068966,-56.059406,-52.82177,-50.825794,-49.665962,-51.60214,-54.00358,-59.029366,-60.80741,-63.66388,-62.741444,-62.47428,-58.784973,-56.15935,-54.52151,-54.169304,-52.585453,-52.165634,-52.897068,-53.533283,-52.97659,-54.457203,-56.6708,-56.92149,-53.194744,-50.907124,-52.29026,-54.62966,-57.814857,-59.841915,-61.445576,-63.351917,-64.15291,-65.00205,-64.1055,-62.3449,-59.733593,-57.533585,-55.17534,-55.972916,-57.760914,-60.31089,-64.88705,-74.37219,-77.16083,-67.72294,-64.8925,-62.50538,-62.14515,-60.431034,-60.682175,-60.710033,-58.75585,-60.3624,-61.985657,-62.3472,-66.12949,-70.22752,-76.09645,-75.093346,-69.13032,-64.037895,-61.054295,-64.26551,-62.20142,-53.345165,-53.762016,-56.313606,-61.420303,-65.73808,-66.69926,-67.53206,-68.709305,-70.32912,-72.02152,-69.909454,-67.41611,-65.531654,-63.02349,-59.637333,-62.391346,-62.35853,-63.97008,-63.634186,-64.55162,-62.368526,-62.248573,-61.509014,-60.23135,-59.44845,-59.190723,-58.061485,-58.354694,-58.164356,-59.57637,-58.00775,-58.28864,-57.643597,-59.696342,-61.684116,-64.61552,-67.333115,-67.6147,-67.56122,-67.36782,-65.17593,-66.91656,-72.312256,-72.07071,-64.18027,-61.785343,-61.96877,-64.24238,-65.44862,-71.725624,-75.837906,-75.92484,-70.33609,-66.21355,-65.45859,-64.37049,-64.4574,-64.35358,-62.794243,-63.415833,-64.70591,-67.62802,-73.05695,-72.368454,-69.49461
-52.42979,-51.81346,-51.028637,-49.658295,-48.92577,-47.324726,-46.479008,-48.10096,-51.491802,-51.686405,-51.855404,-53.57403,-53.665443,-53.20979,-52.197407,-51.971386,-51.97683,-51.74473,-53.153076,-54.277714,-55.71818,-57.511646,-59.975395,-62.760906,-63.73617,-59.60448,-55.590664,-48.544865,-44.765766,-42.524357,-41.07214,-41.25866,-41.015244,-41.295444,-40.788406,-40.617382,-39.581173,-39.566414,-40.17892,-41.67594,-44.475773,-46.998028,-48.484623,-50.495296,-54.029327,-59.8714,-63.986168,-64.18553,-60.808033,-55.66778,-52.820354,-50.290188,-49.828075,-49.335926,-50.227467,-50.673706,-51.465664,-52.82022,-54.107758,-54.294544,-52.79348,-52.964684,-53.476437,-54.63956,-56.43371,-58.653656,-61.167988,-62.682667,-60.62153,-59.00466,-58.26274,-57.949734,-57.95534,-57.44459,-56.55392,-55.730534,-56.501747,-55.28731,-53.423225,-53.77589,-51.88449,-52.325493,-56.929646,-55.48512,-55.124683,-56.427563,-59.14955,-62.76859,-64.52184,-72.176575,-63.366844,-53.069763,-47.112286,-46.853153,-45.72048,-45.94493,-46.06109,-46.09571,-44.59287,-44.168243,-44.06662,-44.000767,-45.237576,-46.99302,-48.9602,-50.10929,-49.84571,-48.921223,-47.161877,-45.07312,-43.67052,-43.145065,-43.098907,-43.48072,-43.678566,-44.556408,-45.203964,-45.831047,-47.34773,-46.543232,-47.726887,-47.518795,-46.363846,-47.044483,-47.886677,-48.757366,-49.93061,-50.84091,-50.975887,-51.08186,-50.419426,-49.697376,-49.754524,-50.284946,-50.82133,-52.027462,-53.068367,-54.25214,-55.52315,-57.37335,-59.927628,-62.839905,-65.867805
-66.54568,-66.1494,-65.911545,-66.770615,-67.625,-65.72813,-61.632565,-60.259197,-59.143383,-55.102566,-51.72878,-52.689888,-52.439693,-53.738934,-57.156963,-63.545856,-77.000786,-65.045395,-60.0941,-57.36744,-56.338696,-54.774925,-53.92171,-53.1121,-51.3092,-50.14018,-49.641613,-49.077137,-48.605076,-48.203175,-46.16079,-44.78346,-43.26509,-42.311363,-41.080956,-41.664307,-42.780365,-46.79628,-49.349545,-49.175243,-50.69096,-52.65132,-54.80998,-57.209293,-58.743412,-61.280613,-64.51865,-64.64666,-58.994404,-53.92477,-51.62887,-48.951263,-49.36844,-50.555073,-53.670536,-57.096706,-57.204838,-55.781033,-55.540234,-52.79542,-52.797813,-52.99303,-53.8551,-57.214294,-61.756718,-66.343056,-71.07037,-71.89705,-73.78578,-75.16433,-65.7572,-60.11629,-57.335655,-55.43881,-54.568905,-54.884502,-58.79667,-68.26045,-61.771687,-49.83288,-48.803204,-52.268944,-55.91371,-55.98141,-56.500923,-59.138065,-59.5845,-61.25167,-59.82265,-58.261578,-57.010715,-54.0337,-50.332024,-49.778774,-47.77775,-47.32746,-46.954678,-46.653248,-45.6486,-46.473797,-48.443924,-49.796463,-48.065987,-45.8336,-44.00247,-43.23911,-42.946392,-43.587997,-44.235546,-43.762253,-44.74102,-45.207577,-45.663647,-45.427284,-44.366123,-44.050446,-44.267193,-44.536083,-46.548424,-48.45398,-50.48106,-52.379246,-52.227135,-49.81729,-47.918995,-46.995293,-46.78153,-47.68962,-48.914074,-50.564663,-52.274548,-53.94723,-54.96269,-54.80601,-54.12055,-53.966732,-54.166412,-54.906612,-56.391716,-58.770527,-62.474854,-67.14733,-72.35426
-71.540306,-67.51707,-64.14015,-61.198273,-58.33408,-54.921776,-52.092205,-52.254925,-52.37962,-50.171906,-48.84006,-50.800014,-52.032825,-54.034058,-56.178577,-58.998928,-61.425323,-58.370167,-55.535336,-54.18869,-52.216106,-51.715176,-51.967484,-52.688244,-53.683144,-54.17873,-55.01882,-54.5652,-53.78217,-52.15261,-48.74278,-46.70058,-44.51872,-43.674084,-42.50458,-44.253124,-46.189148,-47.079807,-47.63999,-48.49805,-49.95606,-51.456448,-51.25664,-52.06443,-51.80866,-52.32557,-52.540836,-50.568237,-50.66146,-49.78256,-53.518284,-54.87405,-54.424297,-51.670128,-50.16775,-49.969368,-49.978123,-50.331528,-51.26793,-50.206707,-51.761875,-53.053986,-53.16068,-54.943886,-55.768814,-57.17661,-57.363758,-57.358437,-56.306664,-55.98612,-54.83463,-53.867565,-53.468285,-52.77679,-52.372276,-52.732563,-54.600857,-55.837532,-53.254585,-54.9969,-53.976254,-54.641853,-58.346622,-58.525402,-59.016586,-59.861465,-61.625698,-66.0374,-69.26336,-68.593666,-59.393887,-53.322506,-50.454292,-52.65605,-50.563442,-48.474407,-46.82619,-45.27481,-45.66708,-47.735462,-49.840202,-50.61094,-51.076424,-49.425266,-47.837063,-46.640793,-46.407223,-48.36659,-50.8163,-52.511578,-57.028446,-65.25223,-70.904655,-63.04477,-56.929356,-53.482628,-52.093372,-50.61683,-50.94923,-52.086708,-52.903576,-53.329346,-51.029446,-51.204403,-50.967747,-51.943546,-51.983162,-53.20632,-53.3847,-54.684193,-56.5052,-59.709583,-61.06685,-60.183197,-59.081615,-58.395763,-58.596832,-59.980347,-61.188118,-63.220547,-66.84988,-72.31256,-80.0
-55.17942,-53.514904,-51.877094,-49.58366,-47.220398,-44.146538,-42.80351,-43.185944,-43.562214,-43.318565,-44.042305,-46.67023,-49.50878,-53.262367,-53.708645,-51.626465,-50.076027,-48.077656,-46.121563,-44.576622,-43.69656,-47.042877,-47.271366,-47.17855,-47.056637,-48.05316,-46.398685,-45.332832,-42.875736,-40.585804,-39.401848,-40.360626,-41.84883,-43.43345,-44.27501,-46.704994,-50.896404,-62.11557,-53.526127,-47.23327,-45.14411,-44.41917,-43.26006,-45.19796,-46.076584,-45.75501,-45.41379,-45.969967,-45.880432,-45.840225,-47.251453,-47.49127,-47.7717,-46.833996,-45.810196,-45.451122,-45.836704,-47.44608,-51.203476,-55.140858,-65.10105,-80.0,-69.66487,-65.34132,-64.51863,-64.16175,-64.77349,-65.28308,-63.117714,-61.8008,-61.05054,-60.93649,-61.93211,-63.165836,-62.772343,-60.625183,-60.546658,-63.64437,-78.13232,-61.73656,-55.748817,-52.96796,-49.786472,-49.444645,-48.150837,-48.698658,-48.78623,-47.876198,-43.61035,-42.519413,-41.677593,-36.21627,-34.892223,-35.543198,-36.7148,-37.076454,-38.032227,-38.716213,-40.794918,-44.419243,-49.265217,-55.059925,-56.21378,-51.03452,-49.236057,-49.697723,-50.70651,-53.3344,-55.413963,-55.141556,-56.6079,-61.311245,-66.29991,-67.9374,-60.64586,-57.664417,-57.006428,-56.748714,-55.719707,-59.035637,-59.391644,-59.289715,-56.245346,-59.32121,-61.21539,-63.48437,-63.093967,-64.056526,-61.78621,-60.118237,-59.690556,-58.53962,-60.01792,-61.4232,-63.675762,-67.6919,-69.261345,-70.14689,-70.19304,-69.89415,-70.96282,-72.452515,-76.80767
-59.02683,-59.63538,-61.151234,-59.805363,-56.56735,-52.088123,-51.436615,-49.86874,-50.38902,-49.985077,-47.923462,-49.295895,-48.223705,-48.243145,-49.19145,-51.86548,-53.155148,-54.314323,-59.724003,-54.543247,-50.111572,-52.280876,-55.361477,-56.622368,-48.403072,-45.63027,-44.772877,-45.054474,-46.273003,-45.2709,-46.138878,-47.62506,-48.23601,-49.34804,-50.60224,-53.75021,-56.04997,-52.61192,-49.884468,-48.900715,-51.299892,-52.048164,-52.20155,-51.737232,-53.27104,-56.00609,-52.12859,-51.354992,-52.053875,-52.28063,-53.241802,-53.06471,-52.84451,-51.797756,-51.358265,-51.264946,-51.408543,-51.78116,-51.739773,-53.355885,-56.52779,-61.368664,-64.54112,-68.33791,-70.741425,-70.9451,-70.469574,-70.08391,-67.460976,-65.61223,-65.5635,-65.1102,-65.58761,-68.0022,-68.17779,-65.681435,-68.88346,-74.26333,-71.96808,-52.183754,-53.66203,-58.670223,-66.12613,-71.98963,-66.19384,-61.716106,-58.575695,-56.199238,-51.51447,-49.037235,-48.664604,-43.5395,-46.268238,-45.102413,-45.862133,-44.629314,-44.492046,-45.904873,-48.39248,-50.062653,-48.928364,-48.4793,-48.52277,-48.070023,-50.176346,-52.997143,-55.713455,-59.720818,-64.63033,-75.53431,-68.93238,-62.425808,-58.488857,-57.688625,-58.715115,-59.280018,-61.1591,-66.430374,-70.63366,-76.12517,-80.0,-80.0,-77.79635,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-77.91227,-74.53323,-76.80122
